t,P(t)
355.0,0.00044
356.0,0.00051
357.0,0.00055
358.0,0.00045
359.0,0.00045
360.0,0.00041
361.0,0.00036
362.0,0.00052
363.0,0.00043
364.0,0.00051
365.0,0.00048
366.0,0.0005
367.0,0.00047
368.0,0.00055
369.0,0.00042
370.0,0.00042
371.0,0.00041
372.0,0.0005
373.0,0.00042
374.0,0.00037
375.0,0.00042
376.0,0.00041
377.0,0.00032
378.0,0.00042
379.0,0.00039
380.0,0.00041
381.0,0.00048
382.0,0.00033
383.0,0.00044
384.0,0.00045
385.0,0.00051
386.0,0.00053
387.0,0.00055
388.0,0.00043
389.0,0.00052
390.0,0.00039
391.0,0.00051
392.0,0.0003
393.0,0.00036
394.0,0.00032
395.0,0.00044
396.0,0.00031
397.0,0.0006
398.0,0.0004
399.0,0.0005
400.0,0.00042
401.0,0.00044
402.0,0.00054
403.0,0.00035
404.0,0.00036
405.0,0.00037
406.0,0.00043
407.0,0.00049
408.0,0.00043
409.0,0.0004
410.0,0.0003
411.0,0.00044
412.0,0.00038
413.0,0.00047
414.0,0.00043
415.0,0.00041
416.0,0.00046
417.0,0.00053
418.0,0.00045
419.0,0.0004
420.0,0.0005
421.0,0.00046
422.0,0.00048
423.0,0.00044
424.0,0.00041
425.0,0.00056
426.0,0.00045
427.0,0.0004
428.0,0.00037
429.0,0.00035
430.0,0.00046
431.0,0.00046
432.0,0.00048
433.0,0.00039
434.0,0.00047
435.0,0.00041
436.0,0.00052
437.0,0.00049
438.0,0.00041
439.0,0.00036
440.0,0.00042
441.0,0.00052
442.0,0.00032
443.0,0.00059
444.0,0.00041
445.0,0.0004
446.0,0.00046
447.0,0.00033
448.0,0.00039
449.0,0.00042
450.0,0.00033
451.0,0.00054
452.0,0.00027
453.0,0.00027
454.0,0.0004
455.0,0.00037
456.0,0.00038
457.0,0.00043
458.0,0.00046
459.0,0.00049
460.0,0.00032
461.0,0.00044
462.0,0.00035
463.0,0.00035
464.0,0.00047
465.0,0.00048
466.0,0.00041
467.0,0.00045
468.0,0.00041
469.0,0.00042
470.0,0.00042
471.0,0.00039
472.0,0.00032
473.0,0.0004
474.0,0.00033
475.0,0.00044
476.0,0.00048
477.0,0.00041
478.0,0.00034
479.0,0.00031
480.0,0.00049
481.0,0.00043
482.0,0.00053
483.0,0.00038
484.0,0.00048
485.0,0.00045
486.0,0.00049
487.0,0.00046
488.0,0.00042
489.0,0.0005
490.0,0.00036
491.0,0.0004
492.0,0.00041
493.0,0.00049
494.0,0.00042
495.0,0.00041
496.0,0.00042
497.0,0.00034
498.0,0.00042
499.0,0.00038
500.0,0.00046
501.0,0.00047
502.0,0.00041
503.0,0.00051
504.0,0.00041
505.0,0.00046
506.0,0.0004
507.0,0.00036
508.0,0.00044
509.0,0.00053
510.0,0.00036
511.0,0.00039
512.0,0.0005
513.0,0.00028
514.0,0.00038
515.0,0.00044
516.0,0.00043
517.0,0.00032
518.0,0.00033
519.0,0.00033
520.0,0.00041
521.0,0.00033
522.0,0.00044
523.0,0.00044
524.0,0.00034
525.0,0.00034
526.0,0.0004
527.0,0.00026
528.0,0.00043
529.0,0.00034
530.0,0.0005
531.0,0.00035
532.0,0.00041
533.0,0.00042
534.0,0.0004
535.0,0.00032
536.0,0.00048
537.0,0.00042
538.0,0.00033
539.0,0.00029
540.0,0.00048
541.0,0.00028
542.0,0.00031
543.0,0.00029
544.0,0.00034
545.0,0.00045
546.0,0.00034
547.0,0.00032
548.0,0.00047
549.0,0.00033
550.0,0.00033
551.0,0.00036
552.0,0.00033
553.0,0.0004
554.0,0.00044
555.0,0.00034
556.0,0.00034
557.0,0.0003
558.0,0.00039
559.0,0.00025
560.0,0.00039
561.0,0.00039
562.0,0.00025
563.0,0.00046
564.0,0.00036
565.0,0.00047
566.0,0.00036
567.0,0.00034
568.0,0.00047
569.0,0.00039
570.0,0.00045
571.0,0.0005
572.0,0.00041
573.0,0.00034
574.0,0.00044
575.0,0.00044
576.0,0.00039
577.0,0.00048
578.0,0.00034
579.0,0.00045
580.0,0.00036
581.0,0.00029
582.0,0.00037
583.0,0.00043
584.0,0.00053
585.0,0.00035
586.0,0.00043
587.0,0.00031
588.0,0.00039
589.0,0.00045
590.0,0.00039
591.0,0.00034
592.0,0.00041
593.0,0.00042
594.0,0.00031
595.0,0.00027
596.0,0.00041
597.0,0.00026
598.0,0.00042
599.0,0.0004
600.0,0.00028
601.0,0.00029
602.0,0.00037
603.0,0.00033
604.0,0.00041
605.0,0.0004
606.0,0.00029
607.0,0.00039
608.0,0.00036
609.0,0.0004
610.0,0.00034
611.0,0.00036
612.0,0.00038
613.0,0.00043
614.0,0.00031
615.0,0.00029
616.0,0.00046
617.0,0.00046
618.0,0.00038
619.0,0.00034
620.0,0.00024
621.0,0.00032
622.0,0.00032
623.0,0.00025
624.0,0.00043
625.0,0.00036
626.0,0.0003
627.0,0.0003
628.0,0.00032
629.0,0.00038
