t,P(t)
1.620000000000000000e+02,1.135000027716159821e-03
1.630000000000000000e+02,1.214999938383698463e-03
1.640000000000000000e+02,1.119999913498759270e-03
1.650000000000000000e+02,1.304999925196170807e-03
1.660000000000000000e+02,1.014999928884208202e-03
1.670000000000000000e+02,1.229999936185777187e-03
1.680000000000000000e+02,1.099999994039535522e-03
1.690000000000000000e+02,1.049999962560832500e-03
1.700000000000000000e+02,1.040000002831220627e-03
1.710000000000000000e+02,1.144999987445771694e-03
1.720000000000000000e+02,1.229999936185777187e-03
1.730000000000000000e+02,1.029999926686286926e-03
1.740000000000000000e+02,1.055000000633299351e-03
1.750000000000000000e+02,1.104999915696680546e-03
1.760000000000000000e+02,1.144999987445771694e-03
1.770000000000000000e+02,1.165000023320317268e-03
1.780000000000000000e+02,1.249999972060322762e-03
1.790000000000000000e+02,1.255000010132789612e-03
1.800000000000000000e+02,1.210000016726553440e-03
1.810000000000000000e+02,1.234999974258244038e-03
1.820000000000000000e+02,1.165000023320317268e-03
1.830000000000000000e+02,1.279999967664480209e-03
1.840000000000000000e+02,1.189999980852007866e-03
1.850000000000000000e+02,1.234999974258244038e-03
1.860000000000000000e+02,1.154999947175383568e-03
1.870000000000000000e+02,1.169999944977462292e-03
1.880000000000000000e+02,1.214999938383698463e-03
1.890000000000000000e+02,1.089999917894601822e-03
1.900000000000000000e+02,1.169999944977462292e-03
1.910000000000000000e+02,1.040000002831220627e-03
1.920000000000000000e+02,1.255000010132789612e-03
1.930000000000000000e+02,1.199999940581619740e-03
1.940000000000000000e+02,1.274999929592013359e-03
1.950000000000000000e+02,1.259999931789934635e-03
1.960000000000000000e+02,1.444999943487346172e-03
1.970000000000000000e+02,1.334999920800328255e-03
1.980000000000000000e+02,1.025000005029141903e-03
1.990000000000000000e+02,1.184999942779541016e-03
2.000000000000000000e+02,1.135000027716159821e-03
